Name,Symbol,Price,Today,Market Cap,Popularity,Analyst Ratings,Article Counts
Aurora Cannabis,ACB,$1.01,6.43%,1.54B,686791,14% Buy,211
Ford,F,$6.23,5.59%,26.72B,425834,33% Buy,25113
GE,GE,$8.81,7.31%,88.10B,355929,57% Buy,2113
Microsoft,MSFT,$159.33,5.78%,1.26T,337820,94% Buy,736
GoPro,GPRO,$3.53,6.01%,583.42M,306377,â,5
Apple,AAPL,$280.96,5.56%,1.28T,268987,62% Buy,1041
Fitbit,FIT,$6.39,3.06%,1.64B,265330,0% Buy,33988
Disney,DIS,$110.30,5.70%,205.78B,257866,74% Buy,1066
Plug Power,PLUG,$4.16,5.85%,1.39B,237353,86% Buy,6971
AMD,AMD,$44.76,3.44%,56.27B,203197,32% Buy,2823
Snap,SNAP,$11.72,2.36%,19.67B,201192,50% Buy,8062
Cronos Group,CRON,$5.40,2.66%,2.07B,194833,47% Buy,299
Canopy Growth,CGC,$14.00,5.90%,5.86B,177285,39% Buy,159
Hexo,HEXO,$0.9451,0.68%,326.97M,166882,18% Buy,70
Tesla,TSLA,$635.00,4.44%,133.60B,164767,16% Buy,612
Chesapeake Energy,CHK,$0.1526,2.99%,451.70M,159994,6% Buy,89
Inovio,INO,$6.05,38.45%,993.34M,150762,100% Buy,141
Facebook,FB,$176.34,4.04%,527.82B,148787,84% Buy,1066
Bank of America,BAC,$23.28,6.16%,233.75B,142329,52% Buy,306
Uber,UBER,$28.70,1.88%,55.52B,137905,76% Buy,5384
Zynga,ZNGA,$6.83,4.59%,6.88B,135293,78% Buy,15
Alibaba,BABA,$205.00,3.71%,572.12B,134816,98% Buy,806
Twitter,TWTR,$34.21,5.39%,27.15B,130848,24% Buy,176
NIO,NIO,$3.48,5.78%,3.92B,126002,7% Buy,184
Amazon,AMZN,"$1,891.82",5.07%,957.80B,107946,94% Buy,946
AT&T,T,$35.64,2.74%,266.69B,106971,43% Buy,39805
Starbucks,SBUX,$74.79,5.59%,89.42B,105792,47% Buy,144
Groupon,GRPN,$0.98,0.18%,651.95M,104111,30% Buy,45
Aphria,APHA,$2.94,3.52%,853.16M,103024,69% Buy,82
Sprint,S,$8.59,6.58%,37.58B,91842,6% Buy,95029
NVIDIA,NVDA,$257.21,4.80%,167.25B,91635,78% Buy,302
Netflix,NFLX,$360.50,4.04%,163.58B,89223,66% Buy,182
Virgin Galactic Holdings,SPCE,$18.25,6.12%,4.72B,86702,â,148
Coca-Cola,KO,$53.30,2.78%,243.43B,74758,70% Buy,2190
Vivint Solar,VSLR,$8.70,7.55%,1.43B,73289,100% Buy,18
Vanguard S&P 500 ETF,VOO,$260.76,3.92%,310.68B,72681,â,52
Nokia,NOK,$3.34,0.91%,21.05B,68754,63% Buy,186
Square,SQ,$67.15,2.16%,33.22B,68054,50% Buy,1287
Beyond Meat,BYND,$90.50,2.89%,5.90B,62467,17% Buy,102
Sirius XM,SIRI,$6.29,4.14%,29.31B,61214,50% Buy,1279
