symbol,from_date,to_date,init_close,final_close,net_change,pct_change,article_count,ttl_vol
AAL,2020-02-10,2020-03-09,28.7900,14.7500,-14.0400,-0.48766932962834317471,220.0000,481176321.0000
AAPL,2020-02-10,2020-03-09,321.5500,266.1700,-55.3800,-0.17222826932047893018,1036.0000,981499196.0000
ABBV,2020-02-10,2020-03-09,94.7500,85.2700,-9.4800,-0.10005277044854881266,122.0000,228981187.0000
ACB,2020-02-10,2020-03-09,1.5600,0.9490,-0.6110,-0.39166666666666666667,211.0000,564648548.0000
AMD,2020-02-10,2020-03-09,52.2600,43.2700,-8.9900,-0.17202449292001530808,2818.0000,1686883774.0000
AMZN,2020-02-10,2020-03-09,2133.9100,1800.6100,-333.3000,-0.15619215430828854075,944.0000,105458324.0000
APHA,2020-02-10,2020-03-09,4.1000,2.8400,-1.2600,-0.30731707317073170732,82.0000,108851827.0000
ATVI,2020-02-10,2020-03-09,61.6300,57.3500,-4.2800,-0.06944669803667045270,59.0000,142443610.0000
AUY,2020-02-10,2020-03-09,3.9200,3.9100,-0.0100,-0.00255102040816326531,25.0000,570207828.0000
BA,2020-02-10,2020-03-09,342.6300,227.1700,-115.4600,-0.33698158363248985786,1978.0000,150006217.0000
BABA,2020-02-10,2020-03-09,215.7700,197.6600,-18.1100,-0.08393196459192658850,805.0000,373801731.0000
BAC,2020-02-10,2020-03-09,34.4700,21.9300,-12.5400,-0.36379460400348128808,302.0000,1625650148.0000
BILI,2020-02-10,2020-03-09,25.4600,25.1200,-0.3400,-0.01335428122545168892,20.0000,139759348.0000
BRK-B,2020-02-10,2020-03-09,227.1100,193.1300,-33.9800,-0.14961912729514332262,114.0000,139050144.0000
BYND,2020-02-10,2020-03-09,119.7300,87.9600,-31.7700,-0.26534703081934352293,102.0000,147846123.0000
CGC,2020-02-10,2020-03-09,19.0500,13.2200,-5.8300,-0.30603674540682414698,159.0000,148931314.0000
CHK,2020-02-10,2020-03-09,0.5000,0.1573,-0.3427,-0.68540000000000000000,89.0000,2395926865.0000
COST,2020-02-10,2020-03-09,313.7900,301.9800,-11.8100,-0.03763663596672934128,75202.0000,67791487.0000
CPRX,2020-02-10,2020-03-09,4.4600,3.4800,-0.9800,-0.21973094170403587444,0.0000,41830277.0000
CRBP,2020-02-10,2020-03-09,6.2900,4.1900,-2.1000,-0.33386327503974562798,2.0000,23172885.0000
