symbol,from_date,to_date,init_close,final_close,net_change,pct_change,ttl_vol,article_count
INO,2/10/20,3/9/20,3.48,9.83,6.35,1.824712644,960051035,227487
S,2/10/20,3/9/20,4.8,8.06,3.26,0.679166667,975297976,94794
NVAX,2/10/20,3/9/20,7.02,10.02,3,0.427350427,194674507,75202
OPK,2/10/20,3/9/20,1.62,2.22,0.6,0.37037037,290535655,39708
ZM,2/10/20,3/9/20,89.67,113.75,24.08,0.268540203,209045993,33914
ENPH,2/10/20,3/9/20,38.61,43.38,4.77,0.123543124,188531331,26143
GILD,2/10/20,3/9/20,68.99,73.52,4.53,0.06566169,486087130,25783
MRNA,2/10/20,3/9/20,23.65,24.29,0.64,0.027061311,416572776,25027
WMT,2/10/20,3/9/20,115.25,117.16,1.91,0.016572668,182470150,8047
AUY,2/10/20,3/9/20,3.92,3.91,-0.01,-0.00255102,570207828,6955
JD,2/10/20,3/9/20,40.1,39.91,-0.19,-0.004738155,361632387,5706
VSLR,2/10/20,3/9/20,9.49,9.41,-0.08,-0.008429926,48539803,5381
BILI,2/10/20,3/9/20,25.46,25.12,-0.34,-0.013354281,139759348,4588
LK,2/10/20,3/9/20,36.87,35.98,-0.89,-0.024138866,255308939,3173
COST,2/10/20,3/9/20,313.79,301.98,-11.81,-0.037636636,67791487,2818
ZNGA,2/10/20,3/9/20,6.79,6.53,-0.26,-0.038291605,408443672,2187
DBX,2/10/20,3/9/20,18.53,17.67,-0.86,-0.046411225,164715606,2105
SPCE,2/10/20,3/9/20,20.55,19.44,-1.11,-0.054014599,809369355,1978
FIT,2/10/20,3/9/20,6.6,6.2,-0.4,-0.060606061,138002092,1750
WORK,2/10/20,3/9/20,26.54,24.89,-1.65,-0.062170309,294445029,1713
NVDA,2/10/20,3/9/20,262.81,245.44,-17.37,-0.066093375,362932360,1418
NFLX,2/10/20,3/9/20,371.07,346.49,-24.58,-0.066240871,130636858,1402
ATVI,2/10/20,3/9/20,61.63,57.35,-4.28,-0.069446698,142443610,1314
VZ,2/10/20,3/9/20,60.24,55.83,-4.41,-0.073207171,416518328,1296
TCEHY,2/10/20,3/9/20,51.96,47.76,-4.2,-0.080831409,102131250,1289
BABA,2/10/20,3/9/20,215.77,197.66,-18.11,-0.083931965,373801731,1284
NTDOY,2/10/20,3/9/20,46.4,42.4,-4,-0.086206897,7036724,1274
T,2/10/20,3/9/20,38.34,34.69,-3.65,-0.095200835,884230570,1063
TWTR,2/10/20,3/9/20,35.96,32.46,-3.5,-0.097330367,447273817,1063
ABBV,2/10/20,3/9/20,94.75,85.27,-9.48,-0.10005277,228981187,1036
PLUG,2/10/20,3/9/20,4.38,3.93,-0.45,-0.102739726,489156217,944
PFE,2/10/20,3/9/20,37.81,33.76,-4.05,-0.10711452,672299097,897
GLUU,2/10/20,3/9/20,7.05,6.17,-0.88,-0.124822695,91463474,805
LLNW,2/10/20,3/9/20,5.21,4.53,-0.68,-0.130518234,26443055,733
KO,2/10/20,3/9/20,59.75,51.86,-7.89,-0.132050209,329726179,706
GPRO,2/10/20,3/9/20,3.9,3.33,-0.57,-0.146153846,102116183,637
SHOP,2/10/20,3/9/20,491.69,418.32,-73.37,-0.149220037,63552640,609
BRK-B,2/10/20,3/9/20,227.11,193.13,-33.98,-0.149619127,139050144,357
NIO,2/10/20,3/9/20,3.87,3.29,-0.58,-0.149870801,1347366484,302
PYPL,2/10/20,3/9/20,120.06,101.63,-18.43,-0.15350658,178356263,302
AMZN,2/10/20,3/9/20,2133.91,1800.61,-333.3,-0.156192154,105458324,297
NKE,2/10/20,3/9/20,99.74,84.11,-15.63,-0.156707439,177048001,279
SIRI,2/10/20,3/9/20,7.19,6.04,-1.15,-0.159944367,563719250,250
SNE,2/10/20,3/9/20,70.17,58.53,-11.64,-0.165882856,29320451,241
V,2/10/20,3/9/20,205.69,171.13,-34.56,-0.168019836,244384846,241
AMD,2/10/20,3/9/20,52.26,43.27,-8.99,-0.172024493,1686883774,220
AAPL,2/10/20,3/9/20,321.55,266.17,-55.38,-0.172228269,981499196,218
SQ,2/10/20,3/9/20,80.17,65.73,-14.44,-0.180117251,241370816,213
SPY,2/10/20,3/9/20,334.68,274.23,-60.45,-0.180620294,3236414323,211
VOO,2/10/20,3/9/20,307.52,251.84,-55.68,-0.181061394,143855409,204
VTI,2/10/20,3/9/20,169.95,138.5,-31.45,-0.185054428,150920544,186
SPHD,2/10/20,3/9/20,42.77,34.84,-7.93,-0.185410334,30124202,183
NRZ,2/10/20,3/9/20,17.28,14.07,-3.21,-0.185763889,132311535,181
PTON,2/10/20,3/9/20,28.6,23.21,-5.39,-0.188461538,138622248,175
SBUX,2/10/20,3/9/20,87.53,70.83,-16.7,-0.190791729,203562507,159
GOOGL,2/10/20,3/9/20,1508.66,1215.79,-292.87,-0.194125913,45425178,157
MU,2/10/20,3/9/20,57.33,45.97,-11.36,-0.198151055,593269651,148
MSFT,2/10/20,3/9/20,188.19,150.62,-37.57,-0.199638663,1102873227,146
VKTX,2/10/20,3/9/20,6.76,5.41,-1.35,-0.199704142,25749523,144
CRM,2/10/20,3/9/20,189.12,151.21,-37.91,-0.200454738,142444005,141
FB,2/10/20,3/9/20,213.06,169.5,-43.56,-0.204449451,396122188,141
IQ,2/10/20,3/9/20,25.35,20.01,-5.34,-0.210650888,176501437,132
TSLA,2/10/20,3/9/20,771.28,608,-163.28,-0.211700031,361146140,122
CRON,2/10/20,3/9/20,6.71,5.26,-1.45,-0.21609538,147268182,114
CRSP,2/10/20,3/9/20,56.62,44.3,-12.32,-0.217590957,24767952,110
CPRX,2/10/20,3/9/20,4.46,3.48,-0.98,-0.219730942,41830277,103
NOK,2/10/20,3/9/20,4.26,3.31,-0.95,-0.223004695,855862159,103
CSCO,2/10/20,3/9/20,48.87,37.96,-10.91,-0.223245345,756323233,102
OGI,2/10/20,3/9/20,2.31,1.77,-0.54,-0.233766234,82953854,90
INTC,2/10/20,3/9/20,66.39,50.85,-15.54,-0.234071396,579090126,89
DAL,2/10/20,3/9/20,57.31,43.52,-13.79,-0.240621183,276884951,82
